reportNumber,incidentYear,cause,installationYear,material
20180222,2018,MECHANICAL_DAMAGE,1998,MATERIAL OTHER THAN CARBON STEEL
20180223,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180224,2018,INTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20180225,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20180226,2018,MECHANICAL_DAMAGE,2017,MATERIAL OTHER THAN CARBON STEEL
20180227,2018,MECHANICAL_DAMAGE,2008,MATERIAL OTHER THAN CARBON STEEL
20180228,2018,MECHANICAL_DAMAGE,2018,MATERIAL OTHER THAN CARBON STEEL
20180229,2018,INTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20180230,2018,MECHANICAL_DAMAGE,1950,CARBON STEEL
20180231,2018,MECHANICAL_DAMAGE,2014,CARBON STEEL
20180232,2018,OTHER,UNKNOWN,CARBON STEEL
20180233,2018,MECHANICAL_DAMAGE,1980,MATERIAL OTHER THAN CARBON STEEL
20180234,2018,MECHANICAL_DAMAGE,2007,CARBON STEEL
20180235,2018,MECHANICAL_DAMAGE,2016,CARBON STEEL
20180236,2018,OTHER,2016,CARBON STEEL
20180237,2018,MECHANICAL_DAMAGE,2003,MATERIAL OTHER THAN CARBON STEEL
20180238,2018,OTHER,2018,CARBON STEEL
20180239,2018,MATERIAL_FAILURE,1946,CARBON STEEL
20180240,2018,OTHER,2014,CARBON STEEL
20180241,2018,OTHER,2018,CARBON STEEL
20180242,2018,MATERIAL_FAILURE,2005,CARBON STEEL
20180243,2018,OTHER,2013,MATERIAL OTHER THAN CARBON STEEL
20180244,2018,MECHANICAL_DAMAGE,1996,CARBON STEEL
20180245,2018,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20180246,2018,MECHANICAL_DAMAGE,2014,CARBON STEEL
20180247,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180248,2018,MECHANICAL_DAMAGE,1958,CARBON STEEL
20180249,2018,OTHER,2018,CARBON STEEL
20180250,2018,INTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20180251,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180252,2018,MECHANICAL_DAMAGE,1985,MATERIAL OTHER THAN CARBON STEEL
20180253,2018,MECHANICAL_DAMAGE,1996,CARBON STEEL
20180254,2018,MECHANICAL_DAMAGE,1973,CARBON STEEL
20180255,2018,MECHANICAL_DAMAGE,1995,CARBON STEEL
20180256,2018,OTHER,2009,CARBON STEEL
20180257,2018,MECHANICAL_DAMAGE,2008,CARBON STEEL
20180258,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20180259,2018,MECHANICAL_DAMAGE,1952,CARBON STEEL
20180260,2018,OTHER,2015,CARBON STEEL
20180261,2018,MECHANICAL_DAMAGE,2010,MATERIAL OTHER THAN CARBON STEEL
20180262,2018,OTHER,2018,CARBON STEEL
20180263,2018,MATERIAL_FAILURE,1999,CARBON STEEL
20180264,2018,MECHANICAL_DAMAGE,1998,CARBON STEEL
20180265,2018,MECHANICAL_DAMAGE,2015,MATERIAL OTHER THAN CARBON STEEL
20180266,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180267,2018,MECHANICAL_DAMAGE,2018,MATERIAL OTHER THAN CARBON STEEL
20180268,2018,MECHANICAL_DAMAGE,2017,CARBON STEEL
20180269,2018,MECHANICAL_DAMAGE,1954,CARBON STEEL
20180270,2018,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20180271,2018,MECHANICAL_DAMAGE,2002,MATERIAL OTHER THAN CARBON STEEL
20180272,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180273,2018,INTERNAL_CORROSION,2009,CARBON STEEL
20180274,2018,INTERNAL_CORROSION,1995,CARBON STEEL
20180275,2018,MECHANICAL_DAMAGE,2011,MATERIAL OTHER THAN CARBON STEEL
20180276,2018,MECHANICAL_DAMAGE,2015,CARBON STEEL
20180277,2018,MECHANICAL_DAMAGE,2012,CARBON STEEL
20180278,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20180279,2018,MECHANICAL_DAMAGE,1923,CARBON STEEL
20180280,2018,MECHANICAL_DAMAGE,2006,MATERIAL OTHER THAN CARBON STEEL
20180281,2018,INTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20180282,2018,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20180283,2018,OTHER,1962,MATERIAL OTHER THAN CARBON STEEL
20180284,2018,MECHANICAL_DAMAGE,1959,CARBON STEEL
20180285,2018,MECHANICAL_DAMAGE,2008,MATERIAL OTHER THAN CARBON STEEL
20180286,2018,OTHER,1990,MATERIAL OTHER THAN CARBON STEEL
20180287,2018,MECHANICAL_DAMAGE,2014,CARBON STEEL
20180288,2018,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20180289,2018,MECHANICAL_DAMAGE,2017,CARBON STEEL
20180290,2018,INTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20180291,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20180292,2018,OTHER,UNKNOWN,CARBON STEEL
20180293,2018,MECHANICAL_DAMAGE,1961,CARBON STEEL
20180294,2018,OTHER,2005,CARBON STEEL
20180295,2018,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20180296,2018,MECHANICAL_DAMAGE,1971,CARBON STEEL
20180297,2018,MATERIAL_FAILURE,2014,CARBON STEEL
20180298,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180299,2018,MECHANICAL_DAMAGE,1993,CARBON STEEL
20180300,2018,OTHER,2013,CARBON STEEL
20180301,2018,MECHANICAL_DAMAGE,1991,MATERIAL OTHER THAN CARBON STEEL
20180302,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20180303,2018,MECHANICAL_DAMAGE,2015,CARBON STEEL
20180304,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180305,2018,MATERIAL_FAILURE,1970,CARBON STEEL
20180306,2018,MECHANICAL_DAMAGE,2018,MATERIAL OTHER THAN CARBON STEEL
20180307,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180308,2018,OTHER,1973,CARBON STEEL
20180309,2018,MECHANICAL_DAMAGE,2015,MATERIAL OTHER THAN CARBON STEEL
20180310,2018,MECHANICAL_DAMAGE,2015,CARBON STEEL
20180311,2018,INTERNAL_CORROSION,2013,CARBON STEEL
20180312,2018,MECHANICAL_DAMAGE,2013,CARBON STEEL
20180313,2018,MECHANICAL_DAMAGE,2018,MATERIAL OTHER THAN CARBON STEEL
20180314,2018,INTERNAL_CORROSION,2009,CARBON STEEL
20180315,2018,MECHANICAL_DAMAGE,1950,CARBON STEEL
20180316,2018,MECHANICAL_DAMAGE,2009,CARBON STEEL
20180317,2018,INTERNAL_CORROSION,2016,CARBON STEEL
20180318,2018,OTHER,2017,MATERIAL OTHER THAN CARBON STEEL
20180319,2018,MECHANICAL_DAMAGE,1945,CARBON STEEL
20180320,2018,MATERIAL_FAILURE,1963,CARBON STEEL
20180321,2018,OTHER,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20180322,2018,MECHANICAL_DAMAGE,2003,CARBON STEEL
20180323,2018,OTHER,1973,CARBON STEEL
20180324,2018,EXTERNAL_CORROSION,1986,CARBON STEEL
20180325,2018,INTERNAL_CORROSION,1952,CARBON STEEL
20180326,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20180327,2018,MECHANICAL_DAMAGE,2010,CARBON STEEL
20180328,2018,MECHANICAL_DAMAGE,2012,MATERIAL OTHER THAN CARBON STEEL
20180329,2018,MECHANICAL_DAMAGE,1998,CARBON STEEL
20180330,2018,OTHER,1981,CARBON STEEL
20180331,2018,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20180332,2018,INTERNAL_CORROSION,2012,CARBON STEEL
20180333,2018,MECHANICAL_DAMAGE,2017,MATERIAL OTHER THAN CARBON STEEL
20180334,2018,EXTERNAL_CORROSION,1997,CARBON STEEL
20180335,2018,MECHANICAL_DAMAGE,1954,MATERIAL OTHER THAN CARBON STEEL
20180336,2018,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20180337,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180338,2018,MECHANICAL_DAMAGE,2018,MATERIAL OTHER THAN CARBON STEEL
20180339,2018,MECHANICAL_DAMAGE,2003,CARBON STEEL
20180340,2018,INTERNAL_CORROSION,1947,CARBON STEEL
20180341,2018,MATERIAL_FAILURE,1950,CARBON STEEL
20180342,2018,OTHER,2018,CARBON STEEL
20180343,2018,OTHER,1944,CARBON STEEL
20180344,2018,MECHANICAL_DAMAGE,2014,MATERIAL OTHER THAN CARBON STEEL
20180345,2018,MECHANICAL_DAMAGE,2015,CARBON STEEL
20180346,2018,MECHANICAL_DAMAGE,1941,CARBON STEEL
20180347,2018,EXTERNAL_CORROSION,1952,CARBON STEEL
20180348,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180349,2018,MECHANICAL_DAMAGE,2018,MATERIAL OTHER THAN CARBON STEEL
20180350,2018,EXTERNAL_CORROSION,2012,CARBON STEEL
20180351,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180352,2018,INTERNAL_CORROSION,1999,CARBON STEEL
20180353,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180354,2018,OTHER,1945,CARBON STEEL
20180355,2018,OTHER,UNKNOWN,CARBON STEEL
20180356,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20180357,2018,MECHANICAL_DAMAGE,2014,MATERIAL OTHER THAN CARBON STEEL
20180358,2018,MECHANICAL_DAMAGE,1986,CARBON STEEL
20180359,2018,OTHER,2018,CARBON STEEL
20180360,2018,MECHANICAL_DAMAGE,2016,MATERIAL OTHER THAN CARBON STEEL
20180361,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180362,2018,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20180363,2018,OTHER,2015,CARBON STEEL
20180364,2018,MECHANICAL_DAMAGE,1947,CARBON STEEL
20180365,2018,MECHANICAL_DAMAGE,2016,MATERIAL OTHER THAN CARBON STEEL
20180366,2018,MECHANICAL_DAMAGE,1986,CARBON STEEL
20180367,2018,INTERNAL_CORROSION,1990,CARBON STEEL
20180368,2018,MECHANICAL_DAMAGE,2000,MATERIAL OTHER THAN CARBON STEEL
20180369,2018,OTHER,UNKNOWN,CARBON STEEL
20180370,2018,MECHANICAL_DAMAGE,2016,CARBON STEEL
20180371,2018,EXTERNAL_CORROSION,1932,CARBON STEEL
20180372,2018,MECHANICAL_DAMAGE,1962,CARBON STEEL
20180373,2018,MECHANICAL_DAMAGE,1958,MATERIAL OTHER THAN CARBON STEEL
20180374,2018,MECHANICAL_DAMAGE,2014,MATERIAL OTHER THAN CARBON STEEL
20180375,2018,OTHER,2016,CARBON STEEL
20180376,2018,MECHANICAL_DAMAGE,2014,CARBON STEEL
20180377,2018,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20180378,2018,MECHANICAL_DAMAGE,2014,CARBON STEEL
20180379,2018,OTHER,2011,CARBON STEEL
20180380,2018,OTHER,2018,CARBON STEEL
20180381,2018,MECHANICAL_DAMAGE,1986,MATERIAL OTHER THAN CARBON STEEL
20180382,2018,MECHANICAL_DAMAGE,2013,CARBON STEEL
20180383,2018,MECHANICAL_DAMAGE,1996,CARBON STEEL
20180384,2018,MATERIAL_FAILURE,1927,CARBON STEEL
20180385,2018,OTHER,2009,CARBON STEEL
20180386,2018,MECHANICAL_DAMAGE,2015,MATERIAL OTHER THAN CARBON STEEL
20180387,2018,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20180388,2018,MECHANICAL_DAMAGE,2009,MATERIAL OTHER THAN CARBON STEEL
20180389,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180390,2018,MATERIAL_FAILURE,UNKNOWN,CARBON STEEL
20180391,2018,MATERIAL_FAILURE,2015,CARBON STEEL
20180392,2018,MATERIAL_FAILURE,1966,CARBON STEEL
20180393,2018,OTHER,1952,CARBON STEEL
20180394,2018,OTHER,UNKNOWN,CARBON STEEL
20180395,2018,INTERNAL_CORROSION,2016,CARBON STEEL
20180396,2018,MATERIAL_FAILURE,1951,CARBON STEEL
20180397,2018,INTERNAL_CORROSION,1954,CARBON STEEL
20180399,2018,OTHER,2018,CARBON STEEL
20180400,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180401,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180402,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20180403,2018,OTHER,1955,CARBON STEEL
20180404,2018,OTHER,2018,CARBON STEEL
20180405,2018,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20180406,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20180407,2018,MECHANICAL_DAMAGE,1956,CARBON STEEL
20180408,2018,MECHANICAL_DAMAGE,1990,CARBON STEEL
20180409,2018,OTHER,UNKNOWN,CARBON STEEL
20180410,2018,OTHER,2015,CARBON STEEL
20180411,2018,INTERNAL_CORROSION,2015,CARBON STEEL
20180412,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190001,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190002,2018,MECHANICAL_DAMAGE,2015,MATERIAL OTHER THAN CARBON STEEL
20190003,2018,OTHER,UNKNOWN,CARBON STEEL
20190004,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190005,2018,MATERIAL_FAILURE,2015,CARBON STEEL
20190006,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190007,2018,EXTERNAL_CORROSION,1964,CARBON STEEL
20190008,2018,MECHANICAL_DAMAGE,2008,CARBON STEEL
20190009,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190010,2018,MECHANICAL_DAMAGE,1968,CARBON STEEL
20190011,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190012,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190013,2018,MECHANICAL_DAMAGE,2018,MATERIAL OTHER THAN CARBON STEEL
20190014,2018,INTERNAL_CORROSION,1967,CARBON STEEL
20190015,2018,INTERNAL_CORROSION,1983,CARBON STEEL
20190016,2018,EXTERNAL_CORROSION,1956,CARBON STEEL
20190017,2018,INTERNAL_CORROSION,2011,CARBON STEEL
20190018,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190019,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190020,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190021,2018,OTHER,1949,MATERIAL OTHER THAN CARBON STEEL
20190022,2018,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190023,2018,INTERNAL_CORROSION,2014,CARBON STEEL
20190024,2018,OTHER,2014,CARBON STEEL
20190025,2019,MECHANICAL_DAMAGE,2015,CARBON STEEL
20190026,2019,OTHER,2013,CARBON STEEL
20190027,2019,MECHANICAL_DAMAGE,1982,CARBON STEEL
20190028,2018,INTERNAL_CORROSION,1967,CARBON STEEL
20190029,2019,MECHANICAL_DAMAGE,1998,CARBON STEEL
20190030,2019,MECHANICAL_DAMAGE,1976,CARBON STEEL
20190031,2019,EXTERNAL_CORROSION,1962,CARBON STEEL
20190032,2019,MECHANICAL_DAMAGE,1987,MATERIAL OTHER THAN CARBON STEEL
20190033,2019,MECHANICAL_DAMAGE,1970,CARBON STEEL
20190034,2019,OTHER,2015,CARBON STEEL
20190035,2019,MECHANICAL_DAMAGE,1990,MATERIAL OTHER THAN CARBON STEEL
20190036,2019,MECHANICAL_DAMAGE,2018,MATERIAL OTHER THAN CARBON STEEL
20190037,2019,MECHANICAL_DAMAGE,2017,CARBON STEEL
20190038,2018,MECHANICAL_DAMAGE,1970,CARBON STEEL
20190039,2019,OTHER,2014,CARBON STEEL
20190040,2019,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190041,2019,MECHANICAL_DAMAGE,1997,CARBON STEEL
20190042,2019,MECHANICAL_DAMAGE,1986,MATERIAL OTHER THAN CARBON STEEL
20190043,2019,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190044,2019,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190045,2019,MECHANICAL_DAMAGE,2018,MATERIAL OTHER THAN CARBON STEEL
20190046,2019,MECHANICAL_DAMAGE,1995,CARBON STEEL
20190047,2019,MECHANICAL_DAMAGE,1956,CARBON STEEL
20190048,2019,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20190049,2019,EXTERNAL_CORROSION,1971,CARBON STEEL
20190050,2019,INTERNAL_CORROSION,1968,CARBON STEEL
20190051,2019,MECHANICAL_DAMAGE,2016,MATERIAL OTHER THAN CARBON STEEL
20190052,2019,MECHANICAL_DAMAGE,2002,CARBON STEEL
20190053,2019,OTHER,2019,CARBON STEEL
20190054,2019,MECHANICAL_DAMAGE,1999,CARBON STEEL
20190055,2019,OTHER,1996,CARBON STEEL
20190056,2019,OTHER,2018,CARBON STEEL
20190057,2019,MECHANICAL_DAMAGE,2017,CARBON STEEL
20190058,2018,MECHANICAL_DAMAGE,1989,CARBON STEEL
20190059,2019,OTHER,UNKNOWN,CARBON STEEL
20190060,2019,EXTERNAL_CORROSION,1999,CARBON STEEL
20190061,2019,OTHER,UNKNOWN,CARBON STEEL
20190062,2019,MECHANICAL_DAMAGE,2013,CARBON STEEL
20190063,2019,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190064,2019,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190065,2019,MECHANICAL_DAMAGE,2008,CARBON STEEL
20190066,2019,MECHANICAL_DAMAGE,2016,MATERIAL OTHER THAN CARBON STEEL
20190067,2019,MECHANICAL_DAMAGE,2014,CARBON STEEL
20190068,2019,INTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20190069,2019,MATERIAL_FAILURE,1968,CARBON STEEL
20190070,2019,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20190071,2019,MECHANICAL_DAMAGE,2013,CARBON STEEL
20190072,2019,OTHER,2018,MATERIAL OTHER THAN CARBON STEEL
20190073,2019,OTHER,2009,CARBON STEEL
20190074,2019,INTERNAL_CORROSION,1991,CARBON STEEL
20190075,2019,OTHER,2005,MATERIAL OTHER THAN CARBON STEEL
20190076,2019,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190077,2019,OTHER,UNKNOWN,CARBON STEEL
20190078,2019,MECHANICAL_DAMAGE,1962,CARBON STEEL
20190079,2019,MATERIAL_FAILURE,2004,CARBON STEEL
20190080,2019,MECHANICAL_DAMAGE,2019,CARBON STEEL
20190081,2019,MECHANICAL_DAMAGE,2002,MATERIAL OTHER THAN CARBON STEEL
20190082,2019,OTHER,2019,CARBON STEEL
20190083,2019,MECHANICAL_DAMAGE,2009,CARBON STEEL
20190084,2019,MECHANICAL_DAMAGE,2015,CARBON STEEL
20190085,2019,OTHER,UNKNOWN,CARBON STEEL
20190086,2019,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190087,2019,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190088,2019,OTHER,UNKNOWN,CARBON STEEL
20190089,2019,OTHER,UNKNOWN,CARBON STEEL
20190090,2019,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190091,2019,OTHER,2015,CARBON STEEL
20190092,2019,MECHANICAL_DAMAGE,2016,MATERIAL OTHER THAN CARBON STEEL
20190093,2019,MECHANICAL_DAMAGE,2003,CARBON STEEL
20190094,2019,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190095,2019,OTHER,2018,CARBON STEEL
20190096,2019,MECHANICAL_DAMAGE,2015,CARBON STEEL
20190097,2019,MECHANICAL_DAMAGE,1999,CARBON STEEL
20190098,2019,MECHANICAL_DAMAGE,1951,CARBON STEEL
20190099,2019,MECHANICAL_DAMAGE,1995,CARBON STEEL
20190100,2019,OTHER,2016,CARBON STEEL
20190101,2019,MECHANICAL_DAMAGE,2019,CARBON STEEL
20190102,2019,MECHANICAL_DAMAGE,2013,MATERIAL OTHER THAN CARBON STEEL
20190103,2019,MECHANICAL_DAMAGE,2019,MATERIAL OTHER THAN CARBON STEEL
20190104,2019,MECHANICAL_DAMAGE,2001,MATERIAL OTHER THAN CARBON STEEL
20190106,2019,OTHER,1965,CARBON STEEL
20190107,2019,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190108,2019,OTHER,2019,CARBON STEEL
20190109,2019,EXTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20190110,2019,MECHANICAL_DAMAGE,1993,CARBON STEEL
20190111,2019,INTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20190112,2019,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190113,2019,MECHANICAL_DAMAGE,1966,CARBON STEEL
20190114,2019,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20190115,2019,MECHANICAL_DAMAGE,1969,CARBON STEEL
20190116,2019,EXTERNAL_CORROSION,2013,CARBON STEEL
20190117,2019,INTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20190118,2019,OTHER,2018,CARBON STEEL
20190119,2019,INTERNAL_CORROSION,1950,CARBON STEEL
20190120,2019,MATERIAL_FAILURE,1975,CARBON STEEL
20190121,2019,MECHANICAL_DAMAGE,2015,CARBON STEEL
20190122,2019,INTERNAL_CORROSION,2014,CARBON STEEL
20190123,2019,INTERNAL_CORROSION,1951,CARBON STEEL
20190124,2019,MECHANICAL_DAMAGE,2003,CARBON STEEL
20190125,2018,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190126,2019,MECHANICAL_DAMAGE,2015,CARBON STEEL
20190127,2019,OTHER,1996,CARBON STEEL
20190129,2019,OTHER,UNKNOWN,CARBON STEEL
20190130,2019,OTHER,1954,CARBON STEEL
20190131,2019,INTERNAL_CORROSION,2014,CARBON STEEL
20190132,2019,OTHER,1952,CARBON STEEL
20190133,2019,OTHER,2013,CARBON STEEL
20190134,2019,EXTERNAL_CORROSION,1985,CARBON STEEL
20190135,2019,INTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20190136,2019,OTHER,2019,MATERIAL OTHER THAN CARBON STEEL
20190137,2019,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190138,2019,MECHANICAL_DAMAGE,1945,CARBON STEEL
20190139,2019,INTERNAL_CORROSION,2017,CARBON STEEL
20190140,2019,OTHER,UNKNOWN,CARBON STEEL
20190141,2019,INTERNAL_CORROSION,1960,CARBON STEEL
20190142,2019,MECHANICAL_DAMAGE,1982,CARBON STEEL
20190143,2019,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190144,2019,INTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20190145,2019,EXTERNAL_CORROSION,1978,CARBON STEEL
20190146,2019,MECHANICAL_DAMAGE,2008,CARBON STEEL
20190147,2019,MECHANICAL_DAMAGE,2015,CARBON STEEL
20190148,2019,MECHANICAL_DAMAGE,2015,MATERIAL OTHER THAN CARBON STEEL
20190150,2019,MECHANICAL_DAMAGE,1972,CARBON STEEL
20190151,2019,MECHANICAL_DAMAGE,2010,MATERIAL OTHER THAN CARBON STEEL
20190152,2019,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20190153,2019,MATERIAL_FAILURE,1979,CARBON STEEL
20190154,2019,MATERIAL_FAILURE,1980,CARBON STEEL
20190155,2019,MATERIAL_FAILURE,1950,CARBON STEEL
20190156,2019,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190157,2019,OTHER,2017,CARBON STEEL
20190158,2019,MECHANICAL_DAMAGE,2013,MATERIAL OTHER THAN CARBON STEEL
20190159,2019,OTHER,2017,MATERIAL OTHER THAN CARBON STEEL
20190160,2019,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190161,2019,OTHER,2011,CARBON STEEL
20190162,2019,INTERNAL_CORROSION,2011,CARBON STEEL
20190163,2019,MECHANICAL_DAMAGE,2013,CARBON STEEL
20190164,2019,OTHER,UNKNOWN,CARBON STEEL
20190165,2019,MECHANICAL_DAMAGE,2016,MATERIAL OTHER THAN CARBON STEEL
20190166,2019,OTHER,1946,CARBON STEEL
20190167,2019,OTHER,2004,CARBON STEEL
20190168,2019,INTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20190169,2019,MECHANICAL_DAMAGE,1998,MATERIAL OTHER THAN CARBON STEEL
20190170,2019,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20190171,2019,INTERNAL_CORROSION,1946,CARBON STEEL
20190172,2019,MECHANICAL_DAMAGE,2012,MATERIAL OTHER THAN CARBON STEEL
20190173,2019,OTHER,2018,CARBON STEEL
20190174,2019,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190175,2019,OTHER,2019,CARBON STEEL
20190176,2018,INTERNAL_CORROSION,1990,CARBON STEEL
20190177,2019,MECHANICAL_DAMAGE,2014,MATERIAL OTHER THAN CARBON STEEL
20190178,2019,INTERNAL_CORROSION,2015,CARBON STEEL
20190179,2019,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190180,2019,MECHANICAL_DAMAGE,2018,MATERIAL OTHER THAN CARBON STEEL
20190181,2019,EXTERNAL_CORROSION,1956,CARBON STEEL
20190182,2019,INTERNAL_CORROSION,1996,CARBON STEEL
20190183,2019,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190184,2019,MECHANICAL_DAMAGE,2016,CARBON STEEL
20190185,2019,MECHANICAL_DAMAGE,2019,MATERIAL OTHER THAN CARBON STEEL
20190186,2019,MECHANICAL_DAMAGE,2018,MATERIAL OTHER THAN CARBON STEEL
20190187,2019,MECHANICAL_DAMAGE,2017,MATERIAL OTHER THAN CARBON STEEL
20190188,2019,OTHER,2016,CARBON STEEL
20190189,2019,MECHANICAL_DAMAGE,1970,CARBON STEEL
20190190,2019,MECHANICAL_DAMAGE,1997,MATERIAL OTHER THAN CARBON STEEL
20190191,2019,OTHER,UNKNOWN,CARBON STEEL
20190192,2019,MECHANICAL_DAMAGE,2018,CARBON STEEL
20190193,2019,MECHANICAL_DAMAGE,1975,MATERIAL OTHER THAN CARBON STEEL
20190194,2019,INTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20190196,2019,INTERNAL_CORROSION,1995,CARBON STEEL
20190197,2019,MECHANICAL_DAMAGE,2019,CARBON STEEL
20190198,2019,EXTERNAL_CORROSION,1950,CARBON STEEL
20190199,2019,MECHANICAL_DAMAGE,2018,MATERIAL OTHER THAN CARBON STEEL
20190200,2019,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190201,2019,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20190202,2019,MECHANICAL_DAMAGE,2018,MATERIAL OTHER THAN CARBON STEEL
20190203,2019,OTHER,2018,CARBON STEEL
20190204,2019,MECHANICAL_DAMAGE,2012,MATERIAL OTHER THAN CARBON STEEL
20190205,2019,INTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20190206,2019,MATERIAL_FAILURE,2018,CARBON STEEL
