reportNumber,incidentYear,cause,installationYear,material
20110049,2011,MECHANICAL_DAMAGE,,
20110050,2011,MECHANICAL_DAMAGE,1953,CARBON STEEL
20110051,2011,OTHER,2000,CARBON STEEL
20110052,2011,OTHER,1965,CARBON STEEL
20110053,2011,OTHER,,CARBON STEEL
20110054,2011,MECHANICAL_DAMAGE,,
20110055,2011,MECHANICAL_DAMAGE,,
20110056,2011,MECHANICAL_DAMAGE,1982,CARBON STEEL
20110057,2011,MECHANICAL_DAMAGE,2003,MATERIAL OTHER THAN CARBON STEEL
20110058,2011,OTHER,2007,CARBON STEEL
20110059,2011,EXTERNAL_CORROSION,1974,CARBON STEEL
20110060,2011,MECHANICAL_DAMAGE,,
20110061,2011,MECHANICAL_DAMAGE,2009,MATERIAL OTHER THAN CARBON STEEL
20110062,2011,MECHANICAL_DAMAGE,,
20110063,2011,MECHANICAL_DAMAGE,1993,CARBON STEEL
20110064,2011,MECHANICAL_DAMAGE,2001,CARBON STEEL
20110065,2011,MECHANICAL_DAMAGE,,CARBON STEEL
20110066,2011,INTERNAL_CORROSION,,
20110067,2010,MECHANICAL_DAMAGE,,
20110068,2010,INTERNAL_CORROSION,,CARBON STEEL
20110069,2010,INTERNAL_CORROSION,1949,CARBON STEEL
20110070,2010,MATERIAL_FAILURE,2006,CARBON STEEL
20110071,2010,MATERIAL_FAILURE,1974,CARBON STEEL
20110072,2011,OTHER,,
20110073,2010,OTHER,,
20110074,2011,OTHER,,MATERIAL OTHER THAN CARBON STEEL
20110075,2011,MECHANICAL_DAMAGE,,
20110077,2011,OTHER,,CARBON STEEL
20110078,2011,MECHANICAL_DAMAGE,1954,CARBON STEEL
20110079,2011,OTHER,,
20110080,2011,INTERNAL_CORROSION,1948,MATERIAL OTHER THAN CARBON STEEL
20110081,2011,OTHER,2010,CARBON STEEL
20110082,2011,OTHER,2009,MATERIAL OTHER THAN CARBON STEEL
20110083,2010,OTHER,,CARBON STEEL
20110084,2011,MECHANICAL_DAMAGE,,
20110085,2011,EXTERNAL_CORROSION,1937,CARBON STEEL
20110086,2011,INTERNAL_CORROSION,1980,CARBON STEEL
20110087,2011,MECHANICAL_DAMAGE,,
